GET /api/owners Thu, 04 Jan 2024 15:16:35 GMT

GET /api/pets Thu, 04 Jan 2024 15:18:39 GMT
GET /api/pets Thu, 04 Jan 2024 16:07:58 GMT
GET /api/pets?sort_by=age Thu, 04 Jan 2024 16:08:28 GMT
GET /api/pets?sort_by=age Thu, 04 Jan 2024 16:08:58 GMT
GET /api/pets?sort_by=name Thu, 04 Jan 2024 16:09:28 GMT
GET /api/pets?sort_by=age Thu, 04 Jan 2024 16:10:39 GMT
GET /api/pets Thu, 04 Jan 2024 16:10:59 GMT
GET /api/pets?sort_by=name Thu, 04 Jan 2024 16:11:22 GMT
